model,site,nb_deg,nb_pm,component,ttf,ctf
M3,E,0,1,C02,28965720.0,76369
M2,E,0,0,C01,14334240.0,28124
M7,I,0,0,C01,10599180.0,11676
M3,E,1,1,C01,32224860.0,127794
M3,E,0,0,C01,8098147.0,12551
M3,S,0,0,C01,22803840.0,56139
M2,S,0,0,C01,7668480.0,11603
M4,S,0,0,C01,14589631.0,34648
M2,S,0,1,C01,9262858.0,18141
M2,I,0,0,C01,8921760.0,19396
M3,E,0,0,C02,8293070.0,17652
M7,E,0,0,C01,2502780.0,6040
M7,S,0,0,C02,5523360.0,13469
M3,H,0,2,C01,41983260.0,30171
M4,E,0,0,C01,24130320.0,59460
M3,S,0,0,C01,15986649.0,13983
M7,S,0,0,C01,7234920.0,20757
M4,E,0,0,C01,27149460.0,87048
M4,S,0,1,C01,4387749.0,6222
M3,E,0,0,C02,11468650.0,38011
M3,E,0,0,C01,5777700.0,17243
M4,E,0,1,C01,15809220.0,36267
M4,S,0,1,C02,33353160.0,89516
M3,S,0,1,C01,44743063.0,143826
M3,S,0,3,C01,57957000.0,178517
M3,E,0,1,C01,56224560.0,192069
M3,H,4,1,C01,11851920.0,35388
M3,S,0,0,C01,21695904.0,13472
M7,S,0,0,C01,21159660.0,29685
M1,E,0,0,C01,7951089.0,19188
M3,E,0,1,C01,4320480.0,5239
M4,S,6,1,C01,23939400.0,73834
M2,I,0,2,C02,69955317.0,71587
M4,E,0,1,C02,7496520.0,36267
M3,S,4,2,C02,56337660.0,140191
M7,E,0,0,C02,2608099.0,6504
M4,I,0,0,C01,4915260.0,5010
M3,I,0,1,C01,10707540.0,15509
M4,S,1,1,C01,5771580.0,15964
M2,H,2,1,C01,29212800.0,57332
M4,S,2,0,C02,13121059.0,37561
M3,E,0,2,C02,29480580.0,103845
M4,S,10,0,C01,16088337.0,22622
M2,E,0,0,C01,2666103.0,5791
M3,E,0,0,C01,10266236.0,32601
M7,E,0,0,C01,4220345.0,10433
M3,E,0,1,C01,24086100.0,72974
M4,S,0,0,C02,5962800.0,16634
M3,E,0,0,C01,13024434.0,31567
M4,S,0,0,C01,27752280.0,29263
M3,S,0,0,C01,7606800.0,16018
M7,E,0,0,C01,20130900.0,59040
M4,E,0,0,C02,7796666.0,23898
M4,I,0,1,C01,14700960.0,24575
M2,I,0,0,C01,3273060.0,13182
M7,S,0,1,C01,52196700.0,115221
M3,H,0,0,C01,35063708.0,31468
M4,S,0,2,C01,28162605.0,49702
M2,I,0,0,C01,10016439.0,8620
M7,S,0,1,C01,45098250.0,26330
M7,S,0,1,C02,80422020.0,208384
M4,E,0,0,C01,6564000.0,21495
M4,S,0,0,C02,5460721.0,16356
M3,E,0,0,C01,12005460.0,40294
M4,E,0,0,C01,17724060.0,62057
M4,E,0,0,C01,16608120.0,62708
M7,H,0,1,C01,20803320.0,20970
M3,S,0,0,C02,23577120.0,68670
M7,E,0,0,C02,14701500.0,18063
M4,S,0,0,C01,14940240.0,52377
M3,S,0,0,C01,5249400.0,22248
M3,E,0,1,C01,29200260.0,56826
M4,S,0,0,C01,11993220.0,49213
M3,I,0,1,C01,6672791.0,5377
M4,E,0,0,C01,7776083.0,7277
M3,I,0,0,C01,7965034.0,5787
M3,S,0,1,C02,29732580.0,39592
M3,E,0,1,C01,18643765.0,48811
M3,E,0,1,C01,4910796.0,8271
M3,I,0,1,C01,23933580.0,16464
M3,S,0,0,C01,4159080.0,8475
M4,S,0,1,C01,4817573.0,16775
M3,E,0,0,C02,8119680.0,11776
M7,E,1,1,C01,57965880.0,101235
M4,S,0,0,C01,3281340.0,7328
M4,E,0,1,C01,22378500.0,44890
M4,S,0,2,C01,78251880.0,248249
M4,E,12,1,C01,17872560.0,54726
M3,E,0,0,C01,6583080.0,28207
M3,S,0,0,C01,9238140.0,17010
M4,E,0,1,C01,24972840.0,51993
M4,E,0,1,C01,30067920.0,18730
M4,E,0,0,C02,21344400.0,56102
M3,I,0,1,C02,43868340.0,15550
M4,S,0,2,C02,55375200.0,112443
M3,E,0,2,C01,57717060.0,105639
M7,E,0,2,C01,62045880.0,230266
M3,E,0,0,C01,13972980.0,18615
M3,S,0,0,C01,6635838.0,9371
M3,E,0,0,C02,11727360.0,23230
M4,E,0,1,C02,60736476.0,121787
M3,E,0,0,C01,9852540.0,41313
M7,S,0,0,C01,16878111.0,34481
M2,S,0,0,C01,5719740.0,13035
M7,S,4,1,C01,30497220.0,70937
M2,S,0,3,C02,61165203.0,197447
M1,E,0,1,C01,1898640.0,5609
M4,E,0,1,C02,14518453.0,20810
M4,I,0,0,C01,3520601.0,8919
M7,E,0,0,C01,4232867.0,16079
M4,E,0,2,C01,48715620.0,113133
M2,S,0,1,C01,11478060.0,22471
M4,E,0,2,C02,53675640.0,58875
M4,I,0,0,C01,3289841.0,9884
M7,E,0,0,C01,23659412.0,122279
M1,S,0,1,C01,6287827.0,26263
M3,S,0,0,C01,8297572.0,15049
M3,S,0,0,C01,2253840.0,5916
M4,E,0,2,C02,28957700.0,35261
M4,S,0,0,C01,28520760.0,73098
M4,I,0,0,C01,8005733.0,7362
M3,S,0,0,C01,8919215.0,30404
M7,S,0,0,C01,3646200.0,6578
M3,S,1,1,C01,3625953.0,17266
M3,S,0,2,C02,68769180.0,116761
M3,H,0,1,C01,3717300.0,11811
M3,E,0,1,C01,47080871.0,98881
M4,E,1,0,C01,10970580.0,30248
M4,E,0,1,C01,70513740.0,199699
M7,E,0,0,C01,9516600.0,41836
M4,E,0,0,C01,19085220.0,58357
M2,S,0,1,C01,30165360.0,78733
M3,S,0,0,C01,8982120.0,23885
M7,E,0,1,C01,54880146.0,93704
M4,E,0,0,C01,22379220.0,41678
M2,S,0,0,C02,26507160.0,22197
M7,E,0,0,C01,5341800.0,10843
M4,E,0,0,C01,2781900.0,7300
M7,E,0,0,C01,2583900.0,7182
M3,E,0,0,C01,4917780.0,13663
M2,S,1,1,C01,18138314.0,32891
M4,E,0,0,C01,7344120.0,7498
M3,H,0,0,C01,8286780.0,15409
M3,E,0,0,C01,18073620.0,42206
M7,S,0,0,C01,10683540.0,27558
M3,I,0,1,C01,9405720.0,14553
M3,E,1,0,C02,6037500.0,10516
M7,S,0,0,C01,19359691.0,35326
M2,E,1,0,C01,9875103.0,37272
